image_url,caption1_text,caption2_text,caption3_text
http://www.newyorker.com/images/2005/09/12/p323/050912_contest_p323.jpg,"FEMA here. No we haven't had any substantiated reports of earthquakes.","Let me call you back. I left God holding on the other line.","Miss Jones send in the extra paperweights."
http://www.newyorker.com/images/2005/09/19/p323/050919_contest_p323.jpg,"'See Spot run.' 'See Spot run'? Who wrote this crap?","You won't believe this but I just remembered where I buried the remote.","Oh did I mention that Timmy fell down the well?"
http://www.newyorker.com/images/2005/09/26/p323/050926_contest_p323.jpg,"We met at the minibar.","Larry can't tell you about his current project—it's top secret.","Whatever you do don't agree to play hide-and-seek with him."
http://www.newyorker.com/images/2005/10/03/p323/051003_contest_p323.jpg,"This is why I always dress in bright colors.","It's our new interactive TV. When he's done I'm having an appendectomy on 'General Hospital.'","We've got a thirty-six-inch plasma mounted in the den."
http://www.newyorker.com/images/2005/10/10/p323/051010_contest_p323.jpg,"Well then it's unanimous.","Who else found Gary's report a little too angry white and male?","So that settles it. This year instead of cooking the books we'll bake them in a light flaky pastry."
http://www.newyorker.com/images/2005/10/17/p323/051017_contest_p323.jpg,"But how will we raise the kids?","You think this is weird? My sister looks like a soup can.","It's not traditional but I find it attracts a more mature type of female."
http://www.newyorker.com/images/2005/10/24/p323/051024_contest_p323.jpg,"Hold my hand and we can use the car-pool lane.","I had another one of those walking dreams last night.","Can you believe the fairy-dust prices these days?"
http://www.newyorker.com/images/2005/10/31/p323/051031_contest_p323.jpg,"Bob just came directly from work.","We don't have much of a sex life but he's good at finding keys in the swimming pool.","This suit looked way better in the store."
http://www.newyorker.com/images/2005/11/07/p323/051107_contest_p323.jpg,"That concludes tonight's performance of ‘Pimp My Ride of the Valkyries.' ","This season we welcome a new corporate sponsor.","Sorry I'm late."
http://www.newyorker.com/images/2005/11/14/p323/051114_contest_p323.jpg,"Shut up Bob everyone knows your parrot's a clip-on.","We have to find a better way to record our meetings.","Well it's not my fault booty revenues are down this quarter."
http://www.newyorker.com/images/2005/11/21/p323/051121_contest_p323.jpg,"Dibs on the briefcase.","Uh-oh. That last village must have been incorporated.","There goes the neighborhood."
http://www.newyorker.com/images/2005/11/28/p323/051128_contest_p323.jpg,"And in this section it appears that you have not only alienated voters but actually infected them too.","The inland tortellini are still with you sir but you're losing support with the coastal risottos.","Stay with me sir. It's almost recess."
http://www.newyorker.com/images/2005/12/05/p323/051205_contest_p323.jpg,"Instead of an expensive invasive procedure we've decided to beat it out of you.","Good news! We have a solid lead on who stole your liver.","That rash will need constant monitoring."
http://www.newyorker.com/images/2005/12/12/p323/051212_contest_p323.jpg,"If I'm not back at the maze by eight my wife reels in the damn string.","If they ask for Ted's Stud Service I'll take it.","Don't tell me it's halftime already."
http://www.newyorker.com/images/2005/12/19/p323/051219_contest_p323.jpg,"It's not just Henderson. Corporate laid off the entire bunny division.","Well there he goes—the first casualty of the War on Easter.","Well at least somebody remembered about casual Good Friday."
http://www.newyorker.com/images/2005/12/26/p323/051226_contest_p323.jpg,"So then I guess the Johnsons are feeding our clothes.","I never know what to pack.","I just thought of something. What if your parents don't collect dead goldfish anymore?"
http://www.newyorker.com/images/2006/01/09/p323/060109_contest_p323.jpg,"I bet the bride of Frankenstein gets to cuddle.","And where do you think you're going with those curtains?","I guess this rules out a church wedding."
http://www.newyorker.com/images/2006/01/16/p323/060116_contest_p323.jpg,"To be fair Martha you started it.","Oh he probably just smells <u>your</u> python.","You see what happens when you carry rats in your purse?"
http://www.newyorker.com/images/2006/01/23/p323/060123_contest_p323.jpg,"No one expects an immaculate conception until it happens to him.","The ultrasound says it's a keg of Bud Light.","She told me she had protection."
http://www.newyorker.com/images/2006/02/06/p323/060206_contest_p323.jpg,"Are you now or have you ever been?","The committee will ask you one final time: do you come in a 42?","He won't get far."
http://www.newyorker.com/images/2006/02/13/p323/060213_contest_p323.jpg,"That's the last time we brag about our kids.","At the end of the day I guess I'm just really more of a cat person.","Sure she's cute but she'll never have a dancer's body."
http://www.newyorker.com/images/2006/02/27/p323/060227_contest_p323.jpg,"They give me free drinks if I keep my tray table down.","I'm sure I've got a business card on me somewhere.","I only bring clothes that I definitely need."
http://www.newyorker.com/images/2006/03/06/p323/060306_contest_p323.jpg,"Well that was abominable.","I just wish we could talk about something other than global warming.","I think the Manhattan skyline is getting suspicious."
http://www.newyorker.com/images/2006/03/13/p323/060313_contest_p323.jpg,"Finally—a faith-based initiative I can embrace.","Just don't order a Bloody Mary.","Hey! Who ya gotta pray to to get a drink around here?"
http://www.newyorker.com/images/2006/03/20/p323/060320_contest_p323.jpg,"Cancel my twelve-oh-one.","I can't talk I'm expecting a call from the governor . . . wait I could save how much?","Yes Mother I know I should have started my appeal earlier."
http://www.newyorker.com/images/2006/03/27/p323/060327_contest_p323.jpg,"How many surprise witnesses do you have in that little car?","Ooh ... I'm going to allow <u>this</u>!","I don't know about you counsellor but I kind of wish there were more murders at the circus."
http://www.newyorker.com/images/2006/04/03/p323/060403_contest_p323.jpg,"It's not good—looks like they've got a full interpretive-dance troupe.","O.K. send him in. But this goes against the Geneva conventions.","Not a good day for a street fair."
http://www.newyorker.com/images/2006/04/10/p323/060410_contest_p323.jpg,"Back in my day kids had a little respect for the law of gravity.","Unfortunately at this age they don't carry much pocket change.","I told you those humane traps never really work."
http://www.newyorker.com/images/2006/04/17/p323/060417_contest_p323.jpg,"First I'd like to thank the podium.","Do I hear a motion for less disclosure?","If all goes well we'll get them back after the audit."
http://www.newyorker.com/images/2006/04/24/p323/060424_contest_p323.jpg,"How soon can you start?","Our conflict-resolution seminar ended a bit early today.","Just remember to keep away from Fletcher's wife and Davidson's daughter and Harris's iPod."
http://www.newyorker.com/images/2006/05/01/p323/060501_contest_p323.jpg,"O.K. this time with a little less feeling.","Gosh Wendy that was more like 'The Flight of the Whole Hive.' ","Yes dear I'm sure your grandmother can hear you in Heaven."
http://www.newyorker.com/images/2006/05/08/p323/060508_contest_p323.jpg,"Stop me if you've heard this one.","I thought I told you to stop sending me jokes at work.","It's gonna be one of those long nights of playing devil's advocate."
http://www.newyorker.com/images/2006/05/15/p323/060515_contest_p323.jpg,"But what if you fall when no one is around?","I'd divorce you but we need the firewood.","How’s your new boss at the C.I.A. dear?"
